ा	80747
र	46619
्	46398
#	36121
न	30747
क	28302
ि	27571
त	25788
ी	25326
स	24657
म	23738
ल	18914
द	17439
प	16950
े	16094
व	16015
य	13968
ह	13091
ं	11879
ब	11852
ु	11830
ज	11251
ग	10774
ो	9620
श	8457
ण	7932
ख	7807
ू	7217
ध	6946
अ	6678
च	6677
ट	6663
थ	6635
़	6051
फ	5730
ड	5539
ै	5334
भ	5296
ष	4982
आ	4416
ौ	2985
घ	2787
झ	2647
इ	2570
छ	2313
ठ	2223
ए	2007
ँ	1912
उ	1818
ई	1623
ढ	1354
ृ	1263
औ	977
ॉ	731
ऊ	490
ञ	436
ऐ	369
ओ	355
ऑ	217
ः	69
ऋ	37
ङ	19
ऍ	12
